"word","value"
"abomination",1
"abshole",1
"absolute zero",1
"accident",1
"acrotomophile",1
"addle-brain",1
"addle head",1
"addle pate",1
"airhead",1
"alcatote",1
"anarchist",1
"animal",1
"animal food trough wiper",1
"antilesbian",1
"anus",1
"anushole",1
"anus licker",1
"ape",1
"apefucker",1
"arse",1
"arsebadger",1
"arsebreath",1
"arseface",1
"arsehole",1
"arse-licker",1
"ass",1
"assaholic",1
"ass bag",1
"ass bitch",1
"ass clown",1
"asscunt",1
"assface",1
"assfucker",1
"asshat",1
"asshole",1
"asshole licker",1
"ass-kisser",1
"ass licker",1
"ass master",1
"assmonkey",1
"assmouth",1
"assmunch",1
"ass-nugget",1
"ass rammer",1
"ass sucker",1
"asstard",1
"asswagon",1
"assweed",1
"asswhore",1
"asswipe",1
"aunt fucker",1
"baboon",1
"baby",1
"baby butcher",1
"baby maker",1
"backstabber",1
"backwoodsman",1
"badass",1
"badasshole",1
"bad bitch",1
"bad boy",1
"baddie",1
"baddy",1
"bad friend",1
"badgerfucker",1
"bad girl",1
"bad guy",1
"bad nut",1
"bad squishies",1
"bad squishy",1
"baduns",1
"bag of dicks",1
"bag of hammers",1
"bag whore",1
"ballkicker",1
"ball licker",1
"ball of rage",1
"balloon head",1
"ballsack",1
"bandit",1
"bangsat",1
"barbarian",1
"Barbie-fucker",1
"barnacle head",1
"bashful Beethoven",1
"basshole",1
"bastard",1
"bawbag",1
"bawtboy",1
"bayard",1
"bean head",1
"bear",1
"beast",1
"beast of burden",1
"beaver",1
"Becky",1
"bedwetter",1
"beetlehead",1
"beggar",1
"beginner",1
"belch",1
"beldame",1
"bell-end",1
"belly button",1
"belly-god",1
"belly itcher",1
"berk",1
"bespawler",1
"beta",1
"beta cuck",1
"biatch",1
"bimbo",1
"birdbrain",1
"birdfucker",1
"birthing person",1
"bish",1
"bitch",1
"bitch-ass",1
"bitch boy",1
"bitchcunt",1
"bitches",1
"bitchface",1
"bitchfucker",1
"bitchtits",1
